Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
JRGCE,,,lo,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,429.4,372.5,pers. comm.,am
JRGCE,,,lo,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,825.7,704.5,pers. comm.,am
JRGCE,,,lo,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,827,1006.9,pers. comm.,am
JRGCE,,,lo,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,743.9,762.3,pers. comm.,am
JRGCE,,,lo,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,267.9,533.6,pers. comm.,am
JRGCE,,,hi,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,996.5,884.3,pers. comm.,am
JRGCE,,,hi,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,1090.5,901.3,pers. comm.,am
JRGCE,,,hi,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,1178.8,528.8,pers. comm.,am
JRGCE,,,hi,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,540.3,504.3,pers. comm.,am
JRGCE,,,hi,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,1054.1,936,pers. comm.,am
JRGCE,,,hi,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,1128,788,pers. comm.,am
JRGCE,,,hi,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,1036.2,1340.8,pers. comm.,am
JRGCE,,,hi,,y,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,666.1,688.5,pers. comm.,am
JRGCE,,,lo,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,1024,1361.3,pers. comm.,am
JRGCE,,,lo,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,875.7,841.2,pers. comm.,am
JRGCE,,,lo,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,738.2,897.8,pers. comm.,am
JRGCE,,,lo,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,465.8,656.6,pers. comm.,am
JRGCE,,,hi,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,960.3,876.7,pers. comm.,am
JRGCE,,,hi,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,1057.4,944.9,pers. comm.,am
JRGCE,,,hi,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,772.6,673.7,pers. comm.,am
JRGCE,,,hi,,n,n,n,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,635.8,471.8,pers. comm.,am
JRGCE,,,lo,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,1024.5,816,pers. comm.,am
